At Epoch 10, loss=0.3338450447786015
At Epoch 20, loss=0.29355872729962207
At Epoch 30, loss=0.2717324027995511
At Epoch 40, loss=0.2570415682711974
At Epoch 50, loss=0.246122285392348
At Epoch 60, loss=0.23751161744527008
At Epoch 70, loss=0.2304451255893158
At Epoch 80, loss=0.22447624112587838
At Epoch 90, loss=0.21932330391905913
At Epoch 100, loss=0.21479829014614862
At Epoch 110, loss=0.2107700259877054
At Epoch 120, loss=0.20714370163958407
At Epoch 130, loss=0.20384876579143973
At Epoch 140, loss=0.20083142124886827
At Epoch 150, loss=0.19804978461280118
At Epoch 160, loss=0.19547065802209557
At Epoch 170, loss=0.19306731348877168
At Epoch 180, loss=0.1908179339990618
At Epoch 190, loss=0.188704492621969
At Epoch 200, loss=0.18671193095533176
At Epoch 210, loss=0.18482754660834685
At Epoch 220, loss=0.18304052949660735
At Epoch 230, loss=0.18134160591996268
At Epoch 240, loss=0.17972276193035372
At Epoch 250, loss=0.1781770258581881
At Epoch 260, loss=0.17669829554883992
At Epoch 270, loss=0.17528119979034226
At Epoch 280, loss=0.17392098617327345
At Epoch 290, loss=0.17261342959034942
At Epoch 300, loss=0.17135475700302763
At Epoch 310, loss=0.17014158514007457
At Epoch 320, loss=0.1689708685600033
At Epoch 330, loss=0.16783985608214386
At Epoch 340, loss=0.1667460540231898
At Epoch 350, loss=0.1656871950049469
At Epoch 360, loss=0.16466121135150608
At Epoch 370, loss=0.16366621228946607
At Epoch 380, loss=0.16270046431721205
At Epoch 390, loss=0.16176237422892603
At Epoch 400, loss=0.16085047437364372
At Epoch 410, loss=0.1599634098049721
At Epoch 420, loss=0.1590999270373812
At Epoch 430, loss=0.1582588641735376
At Epoch 440, loss=0.1574391422064645
At Epoch 450, loss=0.1566397573323213
At Epoch 460, loss=0.15585977413577404
At Epoch 470, loss=0.15509831953145542
At Epoch 480, loss=0.15435457736278596
At Epoch 490, loss=0.15362778357416787
At Epoch 500, loss=0.15291722188484583
